country_code,HS_ind_VA_share,HS_comp_share_HS,HS_comp_share_LS,P_chain_relative,gdp_pc,Relative_Wage,HS_ind_Comp_share,Year
AUT,.18503246,.27630016,.053203318,.80030024,23792.988,1.4001915,.21670282,1980
AUT,.19050084,.25351074,.054533325,.78529114,23776.342,1.4872954,.22302935,1981
AUT,.19391732,.26758444,.056396037,.79075372,24263.049,1.5079103,.2283487,1982
AUT,.19575933,.28602445,.058888614,.80243027,24982.383,1.5162303,.23405282,1983
AUT,.20022835,.27514213,.061487958,.81348491,24982.605,1.4840293,.2406376,1984
AUT,.20511383,.27561197,.063612036,.83227473,25582.863,1.4663923,.24750924,1985
AUT,.20898323,.28324488,.063112654,.85074693,26137.508,1.4762427,.25119862,1986
AUT,.21442533,.30643731,.062118296,.87634295,26446.143,1.4702648,.25657889,1987
AUT,.21686797,.32217371,.068552375,.88047594,27250.648,1.4509133,.2602033,1988
AUT,.22057365,.31538936,.062620856,.91187149,28209.789,1.4768642,.25962597,1989
AUT,.22260672,.32592463,.067087129,.93615717,29294.477,1.4612466,.26014507,1990
AUT,.22416539,.3319231,.072182342,.94746912,30112.893,1.465395,.26023629,1991
AUT,.23011445,.33891961,.068770729,.96492976,30514.117,1.4564171,.26213619,1992
AUT,.23813468,.35446364,.072502516,.98775023,30436.152,1.4359938,.26404995,1993
AUT,.23442298,.35634345,.075598948,.98168045,30950.168,1.424089,.26515901,1994
AUT,.24035309,.36656967,.079779238,.98847926,31604.848,1.4373106,.26832139,1995
AUT,.24346015,.37039557,.080291174,.98931158,32251.104,1.4275628,.27448645,1996
AUT,.2344605,.37042791,.080806099,.94737989,32901.371,1.3966858,.27575964,1997
AUT,.23976144,.36884597,.084292889,.95297498,34039.055,1.384595,.28152665,1998
AUT,.23997493,.38120061,.094298996,.95815194,35218.094,1.3826829,.2900379,1999
AUT,.24250384,.38124689,.098262079,.95504308,36323.301,1.376477,.29907602,2000
AUT,.24707927,.38823062,.10120468,.99130917,36686.293,1.3599669,.30287978,2001
AUT,.24732275,.38821733,.10384005,1.002611,37129.145,1.3589015,.30953988,2002
AUT,.24919046,.39095235,.10817503,1,37222.887,1.3760282,.31498045,2003
AUT,.25118339,.3924748,.11057416,.99371004,38038.082,1.3864417,.31984332,2004
AUT,.25045896,.39816794,.10847576,.98812205,38671.965,1.3845227,.32330537,2005
