country_code,HS_ind_VA_share,HS_comp_share_HS,HS_comp_share_LS,P_chain_relative,gdp_pc,Relative_Wage,HS_ind_Comp_share,Year
ESP,.15515673,.51870877,.081982419,.78463399,18060.492,1.3211416,.1806526,1980
ESP,.16191693,.51808673,.081952944,.79929668,17907.703,1.325117,.18741171,1981
ESP,.16356176,.52050865,.083740175,.78467155,18018.766,1.3259113,.19429779,1982
ESP,.1644509,.54730219,.09836217,.78844422,18240.846,1.3161062,.2000276,1983
ESP,.17057988,.54914361,.10083714,.82840264,18483.275,1.3187439,.20600781,1984
ESP,.1714756,.54062223,.10337235,.8267504,18841.021,1.3040063,.21267107,1985
ESP,.16868669,.53817421,.10134505,.79362249,19393.883,1.2927974,.21817936,1986
ESP,.17279398,.55174488,.10828404,.80743158,20418.916,1.3378024,.21987674,1987
ESP,.17356788,.54229033,.11073411,.81630838,21414.227,1.3446708,.22850102,1988
ESP,.18076234,.55915833,.11804196,.82563269,22403.428,1.3622987,.23179755,1989
ESP,.18996188,.55273581,.12022995,.84706783,23201.973,1.3756227,.23786005,1990
ESP,.19407685,.5477246,.12732756,.87256825,23735.17,1.4062068,.24363315,1991
ESP,.20209987,.5540176,.13162468,.92246652,23888.615,1.4501414,.24138644,1992
ESP,.2115383,.56296951,.13615645,.93379605,23569.803,1.4486399,.25153902,1993
ESP,.20834504,.57831323,.14293265,.94136256,24056.453,1.466826,.2543233,1994
ESP,.20205955,.58854306,.15218543,.93858331,24643.637,1.5128204,.25759274,1995
ESP,.20216982,.60435933,.16572689,.95226347,25230.064,1.5455618,.25873452,1996
ESP,.20439854,.60245931,.16934903,.95699626,26084.205,1.5451458,.25750676,1997
ESP,.20782551,.60950851,.17590594,.97063988,27102.012,1.5626279,.2597706,1998
ESP,.20999852,.6186552,.18032296,.98192674,28148.641,1.5786921,.26191321,1999
ESP,.21267878,.62571341,.18902068,.97690195,29377.646,1.586974,.26082525,2000
ESP,.21804863,.63671929,.20191769,.99198323,30196.846,1.6090006,.26253223,2001
ESP,.22264262,.63618493,.20615424,1.0100008,30631.857,1.6203808,.26476586,2002
ESP,.2237315,.6364603,.21269947,1,31117.287,1.6235468,.26636055,2003
ESP,.22283621,.65330726,.22518419,.97609997,31588.061,1.6631821,.27427983,2004
ESP,.22432178,.65663725,.23650369,.95405716,32250.473,1.683428,.27796546,2005
