country_code,HS_ind_VA_share,HS_comp_share_HS,HS_comp_share_LS,P_chain_relative,gdp_pc,Relative_Wage,HS_ind_Comp_share,Year
ITA,.15903074,.22330438,.0242192,.62796235,17415.807,1.5573692,.14490999,1970
ITA,.16996188,.2221773,.024706239,.65200973,17610.939,1.5654322,.15399659,1971
ITA,.17874548,.22361042,.025076499,.67106664,18136.305,1.5577005,.16114257,1972
ITA,.17294335,.2215662,.025060939,.65553397,19300.229,1.5003811,.16265555,1973
ITA,.16493303,.2146704,.02504302,.63567072,20236.283,1.4215146,.15801351,1974
ITA,.18043332,.21289264,.024897087,.6817559,19703.389,1.3699578,.15673018,1975
ITA,.17419928,.21292244,.025059529,.66218174,21004.504,1.3338369,.15811197,1976
ITA,.17897192,.21716589,.025258033,.68102819,21450.859,1.3089572,.1579899,1977
ITA,.18812303,.21513514,.025903404,.71880859,22063.869,1.297796,.16408645,1978
ITA,.18498084,.21422979,.026279336,.73098636,23301.654,1.2772592,.16775388,1979
ITA,.18362595,.21304078,.026687462,.73499411,24029.006,1.3069497,.18341818,1980
ITA,.18662021,.21446392,.027418489,.75768203,24166.158,1.3041353,.18940733,1981
ITA,.18933123,.21124505,.028017277,.74856669,24207.49,1.272748,.19154112,1982
ITA,.19485304,.20453057,.028565189,.76768267,24439.6,1.2681718,.20089795,1983
ITA,.19388019,.19676913,.02969878,.74450207,25185.613,1.1557616,.21639256,1984
ITA,.19899353,.19667596,.030348429,.75831932,25858.018,1.1197648,.21428026,1985
ITA,.20076442,.19791597,.031043971,.75352603,26576.186,1.1155236,.22044876,1986
ITA,.20172536,.19912682,.031929627,.77181268,27412.943,1.1112071,.22553521,1987
ITA,.2086989,.20216312,.03298147,.80951887,28557.723,1.107834,.23358899,1988
ITA,.20534953,.20589043,.033763472,.80966944,29522.027,1.081902,.23567219,1989
ITA,.21700285,.21221641,.034890309,.86911398,30102.73,1.088109,.24202865,1990
ITA,.22167183,.21771023,.035386141,.89445323,30554.033,1.0992934,.24728452,1991
ITA,.22244069,.22297835,.036118209,.89655697,30791.043,1.0953429,.24887481,1992
ITA,.22443359,.23252024,.037004542,.88435864,30509.928,1.1094947,.2544094,1993
ITA,.218229,.24414071,.037624974,.902619,31154.334,1.1223118,.26254082,1994
ITA,.21941289,.25606897,.038139042,.92693901,32053.164,1.1043986,.26252902,1995
ITA,.22549213,.27212039,.039407782,.93256521,32481.691,1.1291168,.27014241,1996
ITA,.22853197,.28622705,.040436771,.94315434,33105.438,1.1366878,.27716282,1997
ITA,.23152444,.30250317,.041191548,.95058024,33660.684,1.128792,.27655083,1998
ITA,.24030557,.32338059,.042520113,.97011888,34171.598,1.1463451,.28183222,1999
ITA,.24842989,.34468278,.043846171,.98883605,35370.063,1.186877,.29055688,2000
ITA,.24891889,.36974856,.045404218,.98478991,35863.996,1.2237897,.29438597,2001
ITA,.25305551,.39727882,.046910204,.98507094,35769.039,1.2691166,.29850823,2002
ITA,.26112401,.42525679,.049091931,1,35609.738,1.301982,.29876691,2003
ITA,.25694412,.44734719,.051576797,.98656934,35958.828,1.3292719,.29958767,2004
ITA,.26186749,.46950987,.053605687,1.0042305,36109.063,1.3421301,.30239466,2005
