country_code,HS_ind_VA_share,HS_comp_share_HS,HS_comp_share_LS,P_chain_relative,gdp_pc,Relative_Wage,HS_ind_Comp_share,Year
JPN,.12683399,.31229755,.12700962,.7728979,17255.781,1.5393996,.13163438,1973
JPN,.12826973,.31446335,.13925864,.8447538,16824.977,1.5404108,.12828726,1974
JPN,.14593619,.33027694,.1446632,.88440084,17140.152,1.5567719,.14597884,1975
JPN,.14239448,.33661106,.15087262,.88006026,17632.369,1.5291995,.15255608,1976
JPN,.14432941,.34226307,.15344685,.8499586,18231.492,1.490778,.15786687,1977
JPN,.14992085,.34774864,.15838031,.85112697,19026.6,1.4801577,.16309339,1978
JPN,.15807186,.35258478,.16322836,.8874473,19906.197,1.4702642,.16798882,1979
JPN,.15831639,.36196506,.171654,.9020279,20304.83,1.4315932,.17360553,1980
JPN,.15575007,.37462819,.17986472,.87913203,20988.254,1.4341249,.17791916,1981
JPN,.16483371,.37609875,.18677805,.91293627,21533.383,1.4106177,.18435837,1982
JPN,.17047998,.3790572,.18989198,.91008645,22034.623,1.396752,.18758889,1983
JPN,.17205635,.39532569,.19643851,.89108938,22870.295,1.3956672,.19340324,1984
JPN,.17307498,.3966504,.19885702,.90103251,24183.014,1.3910306,.19671656,1985
JPN,.17506777,.4029752,.2056433,.88672876,24751.559,1.4034227,.19985946,1986
JPN,.17708105,.41739315,.21094808,.91712797,25668.057,1.401062,.20295267,1987
JPN,.17793207,.41840118,.20959882,.92700404,27409.365,1.4020917,.20826663,1988
JPN,.17823872,.42667055,.21792668,.93603694,28786.893,1.4183544,.2104636,1989
JPN,.17975225,.42713386,.22014682,.94392157,30287.063,1.4423039,.22065851,1990
JPN,.17923583,.43539897,.22518601,.94051248,31178.314,1.4263726,.22283787,1991
JPN,.1849111,.44589931,.23019798,.95549655,31311.74,1.430038,.22560722,1992
JPN,.19169681,.44677049,.23251154,.95810169,31243.934,1.4411708,.23077118,1993
JPN,.19685517,.45225635,.23794156,.95338625,31401.336,1.4522066,.23432088,1994
JPN,.20023702,.45595938,.24211343,.96128756,31913.086,1.4564832,.24106705,1995
JPN,.204769,.46414346,.24983148,.98657364,32664.295,1.4399985,.24270327,1996
JPN,.20717332,.47016212,.25415546,.99077892,33118.191,1.4312253,.24712077,1997
JPN,.21128064,.47788098,.26394767,.98509955,32398.313,1.4456424,.25488523,1998
JPN,.21638186,.48251265,.26999393,.99815363,32278.42,1.44145,.26132125,1999
JPN,.22142054,.47949177,.27888474,1.0089567,32945.766,1.4478601,.26310918,2000
JPN,.23174977,.48593789,.29185492,1.0126753,32994.734,1.4651966,.2725291,2001
JPN,.23780937,.49812394,.30406025,1.0054685,33018.137,1.5010874,.28008208,2002
JPN,.24177496,.50581843,.30719826,1,33501.719,1.4961751,.28738046,2003
JPN,.24164738,.52501905,.31540698,1.0026102,34225.195,1.4911242,.28726402,2004
JPN,.24782926,.53120959,.32111615,1.0138457,34614.902,1.4913555,.29295373,2005
