Year,P_chain_HS,P_chain_LS,P_HS_LS_chain,share_HS_Labor_HS_Sector,share_HS_Labor_LS_Sector,comp_share_HS_ind,wage_HS,wage_LS,w_prem,gdp_pop,gdp_emp,HS_labor_hours_share,LAB_prod_ind_HS,LAB_prod_ind_LS,share_VA_HS,share_VA_LS
1947,19.863384,34.36256,.6182459,.33662683,.093637265,.101401,2.4379184,1.6854845,1.44642,,,.078021102,68.08728,53.59901,.11587768,.88412231
1948,19.869812,36.477421,.58259016,.34294951,.093594834,.10668514,2.5105226,1.7730032,1.4159719,,,.080548204,74.267876,54.458519,.11789642,.88210356
1949,21.441858,36.797138,.62322068,.34821618,.098297894,.11516938,2.6073942,1.8314471,1.4236797,,,.084866703,72.557495,54.735378,.12827006,.87172991
1950,22.535807,37.445633,.64367318,.36979502,.10781571,.11600309,2.6977661,1.8988448,1.4207406,.62283564,.6234476,.092906855,72.418907,57.402473,.12619528,.87380469
1951,25.536419,41.077293,.66489285,.35440943,.11137073,.11326026,2.9404724,2.032788,1.4465219,.6616987,.6504398,.092629954,68.246605,55.277958,.12319919,.87680084
1952,27.776215,42.042278,.70661086,.36331338,.11770692,.11733061,3.1339023,2.1348262,1.4679894,.67695129,.66896105,.097700305,67.338898,55.384068,.12824443,.8717556
1953,29.27527,42.581551,.73531413,.37329018,.1214414,.12099185,3.3198338,2.2483325,1.476576,.69708943,.69059896,.10047597,68.147118,57.259407,.13254052,.86745948
1954,30.367907,43.042057,.75459743,.38120788,.12424251,.13259789,3.4548242,2.3213234,1.4882994,.68107498,.69918323,.10338739,68.953934,59.049328,.14064491,.85935509
1955,31.46328,43.613903,.77156496,.38138109,.124141,.13226204,3.6509118,2.4360256,1.4987165,.71680754,.72750455,.10168429,70.286873,62.044189,.14188756,.85811245
1956,32.475708,45.09523,.7702319,.38486436,.12547877,.13632588,3.8945215,2.5867431,1.5055695,.71920919,.72583169,.10271857,71.34269,62.390564,.14657745,.85342258
1957,33.637077,46.495605,.77374852,.39484465,.13003883,.14320372,4.1046677,2.7209642,1.5085342,.72119689,.73750448,.10771315,73.295326,64.312225,.1522893,.84771067
1958,35.34586,47.651772,.7933284,.40828389,.13807328,.15406656,4.2695403,2.8317385,1.5077453,.70403123,.74565554,.11466143,73.280426,66.388458,.16191635,.83808368
1959,36.291492,47.853855,.811113,.4106966,.13770874,.1565385,4.55479,2.986017,1.5253731,.74014854,.77913845,.11385889,76.344803,69.719574,.16313796,.83686203
1960,38.051628,48.93047,.83173954,.40146297,.13616818,.16195719,4.4686027,3.0452647,1.4673939,.74718535,.78598469,.11709379,75.107269,70.488655,.16802949,.83197051
1961,38.310009,49.43618,.82882118,.40809774,.13255635,.17233668,4.4336681,3.1184618,1.4217484,.75367159,.80539823,.12413371,78.244438,72.65976,.17520216,.82479787
1962,39.266888,49.882179,.84192723,.40655124,.12811145,.17589284,4.426662,3.2118888,1.3782115,.78756356,.84214735,.12856665,79.479935,75.912674,.17495199,.82504803
